date,Asset,Value
11/21/2020,ADA,0.13472
11/22/2020,ADA,0.15352
11/23/2020,ADA,0.15925
11/24/2020,ADA,0.183
11/25/2020,ADA,0.17549
11/26/2020,ADA,0.16085
11/27/2020,ADA,0.14559
11/28/2020,ADA,0.17233
11/29/2020,ADA,0.17136
11/30/2020,ADA,0.17399
12/1/2020,ADA,0.17456
12/2/2020,ADA,0.15997
12/3/2020,ADA,0.16842
12/4/2020,ADA,0.16464
12/5/2020,ADA,0.16198
12/6/2020,ADA,0.16288
12/7/2020,ADA,0.15906
12/8/2020,ADA,0.1552
12/9/2020,ADA,0.15025
12/10/2020,ADA,0.14865
12/11/2020,ADA,0.14291
12/12/2020,ADA,0.14736
12/13/2020,ADA,0.15669
12/14/2020,ADA,0.1588
12/15/2020,ADA,0.16
12/16/2020,ADA,0.16844
12/17/2020,ADA,0.17628
12/18/2020,ADA,0.16942
12/19/2020,ADA,0.17082
12/20/2020,ADA,0.169
12/21/2020,ADA,0.16714
12/22/2020,ADA,0.16124
12/23/2020,ADA,0.15786
12/24/2020,ADA,0.15477
12/25/2020,ADA,0.167
12/26/2020,ADA,0.16242
12/27/2020,ADA,0.16642
12/28/2020,ADA,0.18057
12/29/2020,ADA,0.19725
12/30/2020,ADA,0.19389
12/31/2020,ADA,0.1864
1/1/2021,ADA,0.18473
1/2/2021,ADA,0.18457
1/3/2021,ADA,0.2096
1/4/2021,ADA,0.23992
1/5/2021,ADA,0.26429
1/6/2021,ADA,0.34772
1/7/2021,ADA,0.3553
1/8/2021,ADA,0.32165
1/9/2021,ADA,0.33851
1/10/2021,ADA,0.3412
1/11/2021,ADA,0.30397
1/12/2021,ADA,0.31442
1/13/2021,ADA,0.31587
1/14/2021,ADA,0.32455
1/15/2021,ADA,0.33225
1/16/2021,ADA,0.36696
1/17/2021,ADA,0.3974
1/18/2021,ADA,0.39724
1/19/2021,ADA,0.39001
1/20/2021,ADA,0.3769
1/21/2021,ADA,0.37945
1/22/2021,ADA,0.3598
1/23/2021,ADA,0.35763
1/24/2021,ADA,0.36926
1/25/2021,ADA,0.36415
1/26/2021,ADA,0.35111
1/27/2021,ADA,0.34396
1/28/2021,ADA,0.35575
1/29/2021,ADA,0.36836
1/30/2021,ADA,0.37694
1/31/2021,ADA,0.37752
2/1/2021,ADA,0.42411
2/2/2021,ADA,0.4559
2/3/2021,ADA,0.44961
2/4/2021,ADA,0.45
2/5/2021,ADA,0.56
2/6/2021,ADA,0.66706
2/7/2021,ADA,0.70888
2/8/2021,ADA,0.7238
2/9/2021,ADA,0.71206
2/10/2021,ADA,0.95306
2/11/2021,ADA,0.98
2/12/2021,ADA,0.94825
2/13/2021,ADA,0.95053
2/14/2021,ADA,0.919
2/15/2021,ADA,0.911
2/16/2021,ADA,0.90591
2/17/2021,ADA,0.89745
2/18/2021,ADA,0.9578
2/19/2021,ADA,0.9456
2/20/2021,ADA,1.2
2/21/2021,ADA,1.15172
2/22/2021,ADA,1.146
2/23/2021,ADA,1.142
2/24/2021,ADA,1.077
2/25/2021,ADA,1.177
2/26/2021,ADA,1.298
2/27/2021,ADA,1.488
2/28/2021,ADA,1.3595
3/1/2021,ADA,1.348
3/2/2021,ADA,1.29998
3/3/2021,ADA,1.26636
3/4/2021,ADA,1.23052
3/5/2021,ADA,1.1972
3/6/2021,ADA,1.183
3/7/2021,ADA,1.145
3/8/2021,ADA,1.17835
3/9/2021,ADA,1.22
3/10/2021,ADA,1.208
3/11/2021,ADA,1.14
3/12/2021,ADA,1.128
3/13/2021,ADA,1.193
3/14/2021,ADA,1.10265
3/15/2021,ADA,1.07078
3/16/2021,ADA,1.28
3/17/2021,ADA,1.43
3/18/2021,ADA,1.47299
3/19/2021,ADA,1.34286
3/20/2021,ADA,1.30974
3/21/2021,ADA,1.24139
3/22/2021,ADA,1.20782
3/23/2021,ADA,1.1739
3/24/2021,ADA,1.1639
