date,Asset,Value
9/30/2019,AMC,10.7
10/1/2019,AMC,10.62
10/2/2019,AMC,10.22
10/3/2019,AMC,9.93
10/4/2019,AMC,9.82
10/7/2019,AMC,9.78
10/8/2019,AMC,9.83
10/9/2019,AMC,9.39
10/10/2019,AMC,9.16
10/11/2019,AMC,9.22
10/14/2019,AMC,8.95
10/15/2019,AMC,9.17
10/16/2019,AMC,9.34
10/17/2019,AMC,9.34
10/18/2019,AMC,9.36
10/21/2019,AMC,9.22
10/22/2019,AMC,9.76
10/23/2019,AMC,9.87
10/24/2019,AMC,9.6
10/25/2019,AMC,9.72
10/28/2019,AMC,9.91
10/29/2019,AMC,9.81
10/30/2019,AMC,9.4
10/31/2019,AMC,9.37
11/1/2019,AMC,9.62
11/4/2019,AMC,9.75
11/5/2019,AMC,9.78
11/6/2019,AMC,9.69
11/7/2019,AMC,9.24
11/8/2019,AMC,9.62
11/11/2019,AMC,9.54
11/12/2019,AMC,9.28
11/13/2019,AMC,8.8
11/14/2019,AMC,8.88
11/15/2019,AMC,8.76
11/18/2019,AMC,8.47
11/19/2019,AMC,8.47
11/20/2019,AMC,8.13
11/21/2019,AMC,7.94
11/22/2019,AMC,7.96
11/25/2019,AMC,8.38
11/26/2019,AMC,7.9
11/27/2019,AMC,8.43
11/29/2019,AMC,8.18
12/2/2019,AMC,8.67
12/3/2019,AMC,8.27
12/4/2019,AMC,7.93
12/5/2019,AMC,7.87
12/6/2019,AMC,8.05
12/9/2019,AMC,8.23
12/10/2019,AMC,8.1
12/11/2019,AMC,8.16
12/12/2019,AMC,8.3
12/13/2019,AMC,8.22
12/16/2019,AMC,8.35
12/17/2019,AMC,8.12
12/18/2019,AMC,7.96
12/19/2019,AMC,7.8
12/20/2019,AMC,7.73
12/23/2019,AMC,7.32
12/24/2019,AMC,7.51
12/26/2019,AMC,7.34
12/27/2019,AMC,7.3
12/30/2019,AMC,7.24
12/31/2019,AMC,7.24
1/2/2020,AMC,7.46
1/3/2020,AMC,7.32
1/6/2020,AMC,7.12
1/7/2020,AMC,7.13
1/8/2020,AMC,6.62
1/9/2020,AMC,6.46
1/10/2020,AMC,6.47
1/13/2020,AMC,6.56
1/14/2020,AMC,6.85
1/15/2020,AMC,7.11
1/16/2020,AMC,7.33
1/17/2020,AMC,7.28
1/21/2020,AMC,7.18
1/22/2020,AMC,6.97
1/23/2020,AMC,6.8
1/24/2020,AMC,6.74
1/27/2020,AMC,6.36
1/28/2020,AMC,6.79
1/29/2020,AMC,6.77
1/30/2020,AMC,6.84
1/31/2020,AMC,6.52
2/3/2020,AMC,6.45
2/4/2020,AMC,6.65
