ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
GOOG,12/4/2017,998.68,1906058,1012.66,1016.1,995.57,-1%
MSFT,12/4/2017,81.08,39084990,84.42,84.4299,80.7,-4%
TSLA,12/4/2017,305.2,5834227,306.5,308.265,300.61,0%
AAPL,12/5/2017,169.64,27315530,169.06,171.52,168.4,0%
AMZN,12/5/2017,1141.57,4074846,1128.26,1159.27,1124.74,1%
GOOGL,12/5/2017,1019.6,1948970,1010.99,1036.68,1002.315,1%
GOOG,12/5/2017,1005.15,2066247,995.94,1020.61,988.28,1%
MSFT,12/5/2017,81.59,26144410,81.34,82.68,80.9801,0%
TSLA,12/5/2017,303.7,4643708,302,308,301,1%
AAPL,12/6/2017,169.01,28397810,167.5,170.2047,166.46,1%
AMZN,12/6/2017,1152.35,2777524,1137.99,1155.89,1136.08,1%
GOOGL,12/6/2017,1032.72,1380665,1016.52,1039.58,1015.31,2%
GOOG,12/6/2017,1018.38,1258496,1001.5,1024.97,1001.14,2%
MSFT,12/6/2017,82.78,24876890,81.55,83.14,81.43,2%
TSLA,12/6/2017,313.26,7184477,300.1,313.39,300,4%
AAPL,12/7/2017,169.32,25656110,169.03,170.44,168.91,0%
AMZN,12/7/2017,1159.79,2508813,1156.59,1163.19,1151,0%
GOOGL,12/7/2017,1044.57,1542074,1036.07,1048.92,1035.36,1%
GOOG,12/7/2017,1030.93,1458145,1020.43,1034.24,1018.071,1%
MSFT,12/7/2017,82.49,23170300,82.54,82.8,82,0%
TSLA,12/7/2017,311.24,4779590,312,318.6341,311.05,0%
AAPL,12/8/2017,169.37,23285760,170.49,171,168.82,-1%
AMZN,12/8/2017,1162,2979278,1170.4,1172.79,1157.1,-1%
GOOGL,12/8/2017,1049.38,1491994,1051.81,1056.42,1045.86,0%
GOOG,12/8/2017,1037.05,1288419,1037.49,1042.05,1032.5222,0%
MSFT,12/8/2017,84.16,24027610,83.63,84.58,83.33,1%
TSLA,12/8/2017,315.13,3466088,314.6,316.98,311.26,0%
AAPL,12/9/2017,169.37,23285760,170.49,171,168.82,-1%
AMZN,12/9/2017,1162,2979278,1170.4,1172.79,1157.1,-1%
GOOGL,12/9/2017,1049.38,1491994,1051.81,1056.42,1045.86,0%
GOOG,12/9/2017,1037.05,1288419,1037.49,1042.05,1032.5222,0%
MSFT,12/9/2017,84.16,24027610,83.63,84.58,83.33,1%
TSLA,12/9/2017,315.13,3466088,314.6,316.98,311.26,0%
AAPL,12/10/2017,169.37,23285760,170.49,171,168.82,-1%
AMZN,12/10/2017,1162,2979278,1170.4,1172.79,1157.1,-1%
GOOGL,12/10/2017,1049.38,1491994,1051.81,1056.42,1045.86,0%
GOOG,12/10/2017,1037.05,1288419,1037.49,1042.05,1032.5222,0%
MSFT,12/10/2017,84.16,24027610,83.63,84.58,83.33,1%
TSLA,12/10/2017,315.13,3466088,314.6,316.98,311.26,0%
AAPL,12/11/2017,172.67,34260890,169.2,172.89,168.79,2%
AMZN,12/11/2017,1168.92,2360068,1164.6,1169.9,1157,0%
GOOGL,12/11/2017,1051.97,1161981,1051.11,1056,1044.12,0%
GOOG,12/11/2017,1041.1,1190527,1035.5,1043.8,1032.0504,1%
MSFT,12/11/2017,85.23,21446720,84.29,85.37,84.12,1%
TSLA,12/11/2017,328.91,7926090,314.63,329.01,313.75,5%
AAPL,12/12/2017,171.7,19088170,172.15,172.39,171.461,0%
AMZN,12/12/2017,1165.08,2208812,1166.51,1173.6,1161.61,0%
GOOGL,12/12/2017,1048.77,1692799,1050,1062.5,1044.87,0%
GOOG,12/12/2017,1040.48,1279511,1039.63,1050.31,1033.6897,0%
